id,activity,application,application_id,attachments,author.avatar,author.bot,author.clan,author.discriminator,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds.0.color,embeds.0.content_scan_version,embeds.0.fields.0.inline,embeds.0.fields.0.name,embeds.0.fields.0.value,embeds.0.fields.1.inline,embeds.0.fields.1.name,embeds.0.fields.1.value,embeds.0.fields.2.inline,embeds.0.fields.2.name,embeds.0.fields.2.value,embeds.0.fields.3.inline,embeds.0.fields.3.name,embeds.0.fields.3.value,embeds.0.fields.4.inline,embeds.0.fields.4.name,embeds.0.fields.4.value,embeds.0.fields.5.inline,embeds.0.fields.5.name,embeds.0.fields.5.value,embeds.0.fields.6.inline,embeds.0.fields.6.name,embeds.0.fields.6.value,embeds.0.fields.7.inline,embeds.0.fields.7.name,embeds.0.fields.7.value,embeds.0.footer.text,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.timestamp,embeds.0.title,embeds.0.type,flags,interaction,mention_channels,mention_everyone,mentions,message_reference,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
1464687102792044779,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:23:37.876Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:23:37.600000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:23:37.876000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464687096878071968,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:23:36.466Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:23:36.245000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:23:36.466000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464686992846491824,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:23:11.663Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:23:11.388000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:23:11.663000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464686991504314552,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:23:11.343Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:23:10.333000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:23:11.343000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464682618758107290,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:05:48.799Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:05:48.500000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:05:48.799000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464682582632304876,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:05:40.186Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:05:39.867000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:05:40.186000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464682095233204447,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:03:43.981Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:03:43.691000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:03:43.981000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464681955844034650,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:03:10.748Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:03:10.450000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:03:10.748000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464681946696388643,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:03:08.567Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:03:08.301000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:03:08.567000+00:00,false,0,Animal Battle Stats,1446203750204047426
1464681877054161219,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-24T18:02:51.963Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Houston, TX, US",,,,,,,,,,,,,,,,,,,,,,,,,2026-01-24T18:02:51.657000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-24T18:02:51.963000+00:00,false,0,Animal Battle Stats,1446203750204047426
