id,activity,application,application_id,attachments,author.avatar,author.bot,author.clan,author.discriminator,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds.0.color,embeds.0.content_scan_version,embeds.0.description,embeds.0.fields.0.inline,embeds.0.fields.0.name,embeds.0.fields.0.value,embeds.0.fields.1.inline,embeds.0.fields.1.name,embeds.0.fields.1.value,embeds.0.fields.2.inline,embeds.0.fields.2.name,embeds.0.fields.2.value,embeds.0.fields.3.inline,embeds.0.fields.3.name,embeds.0.fields.3.value,embeds.0.timestamp,embeds.0.title,embeds.0.type,flags,interaction,mention_channels,mention_everyone,mentions,message_reference,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
1460779943704395959,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-13T23:37:58.558Z,,6710886,0,,true,User,Anonymous,true,🌐 Location,"Sugar Land, TX, US",,,,,,,2026-01-13T23:37:58.318000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-01-13T23:37:58.558000+00:00,false,0,Animal Battle Stats,1446203750204047426
1460779934258565171,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-13T23:37:56.306Z,,4491519,0,,true,Visitor,Anonymous,true,🌐 Location,"Sugar Land, TX, US",,,,,,,2026-01-13T23:37:56.056000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-13T23:37:56.306000+00:00,false,0,Animal Battle Stats,1446203750204047426
1460779931528200304,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-13T23:37:55.655Z,,6710886,0,,true,User,Anonymous,true,🌐 Location,"Sugar Land, TX, US",,,,,,,2026-01-13T23:37:55.326000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-01-13T23:37:55.655000+00:00,false,0,Animal Battle Stats,1446203750204047426
1460779920446849046,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-13T23:37:53.013Z,,4491519,0,,true,Visitor,Anonymous,true,🌐 Location,"Sugar Land, TX, US",,,,,,,2026-01-13T23:37:52.668000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-13T23:37:53.013000+00:00,false,0,Animal Battle Stats,1446203750204047426
1460779918924447805,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-13T23:37:52.650Z,,6710886,0,,true,User,Anonymous,true,🌐 Location,"Sugar Land, TX, US",,,,,,,2026-01-13T23:37:52.356000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-01-13T23:37:52.650000+00:00,false,0,Animal Battle Stats,1446203750204047426
1460779906794520671,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-13T23:37:49.758Z,,4491519,0,,true,Visitor,Anonymous,true,🌐 Location,"Sugar Land, TX, US",,,,,,,2026-01-13T23:37:49.497000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-13T23:37:49.758000+00:00,false,0,Animal Battle Stats,1446203750204047426
1460779885579599872,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-13T23:37:44.700Z,,4491519,0,,true,Visitor,Anonymous,true,🌐 Location,"Sugar Land, TX, US",,,,,,,2026-01-13T23:37:44.434000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-13T23:37:44.700000+00:00,false,0,Animal Battle Stats,1446203750204047426
1460779884329697330,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-13T23:37:44.402Z,,6710886,0,,true,User,Anonymous,true,🌐 Location,"Sugar Land, TX, US",,,,,,,2026-01-13T23:37:44.119000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-01-13T23:37:44.402000+00:00,false,0,Animal Battle Stats,1446203750204047426
1460779870002090014,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-13T23:37:40.986Z,,4491519,0,,true,Visitor,Anonymous,true,🌐 Location,"Sugar Land, TX, US",,,,,,,2026-01-13T23:37:40.610000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-01-13T23:37:40.986000+00:00,false,0,Animal Battle Stats,1446203750204047426
1460779868651262179,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-01-13T23:37:40.664Z,,6710886,0,,true,User,Anonymous,true,🌐 Location,"Sugar Land, TX, US",,,,,,,2026-01-13T23:37:40.321000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-01-13T23:37:40.664000+00:00,false,0,Animal Battle Stats,1446203750204047426
