id,activity,application,application_id,attachments,author.avatar,author.bot,author.clan,author.discriminator,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds.0.color,embeds.0.content_scan_version,embeds.0.fields.0.inline,embeds.0.fields.0.name,embeds.0.fields.0.value,embeds.0.fields.1.inline,embeds.0.fields.1.name,embeds.0.fields.1.value,embeds.0.fields.2.inline,embeds.0.fields.2.name,embeds.0.fields.2.value,embeds.0.fields.3.inline,embeds.0.fields.3.name,embeds.0.fields.3.value,embeds.0.fields.4.inline,embeds.0.fields.4.name,embeds.0.fields.4.value,embeds.0.fields.5.inline,embeds.0.fields.5.name,embeds.0.fields.5.value,embeds.0.fields.6.inline,embeds.0.fields.6.name,embeds.0.fields.6.value,embeds.0.fields.7.inline,embeds.0.fields.7.name,embeds.0.fields.7.value,embeds.0.fields.8.inline,embeds.0.fields.8.name,embeds.0.fields.8.value,embeds.0.thumbnail.content_type,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.placeholder,embeds.0.thumbnail.placeholder_version,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.timestamp,embeds.0.title,embeds.0.type,flags,interaction,mention_channels,mention_everyone,mentions,message_reference,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
1469448880163786944,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-02-06T21:45:14.071Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/,true,🌐 Location,"Twinsburg, OH, US",true,🖥️ Device,Chrome on Windows,true,📐 Screen,1920x1080,true,🌐 Language,en-US,,,,,,,,,,,0,0,,,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,0,2026-02-06T21:45:13.766000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-02-06T21:45:14.071000+00:00,false,0,Animal Battle Stats,1446203750204047426
1469448862258171914,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-02-06T21:45:09.802Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/,true,🌐 Location,"WA, US",true,🖥️ Device,Chrome on Unknown,true,📐 Screen,800x600,true,🌐 Language,en-US,,,,,,,,,,,0,0,,,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,0,2026-02-06T21:45:09.261000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-02-06T21:45:09.802000+00:00,false,0,Animal Battle Stats,1446203750204047426
1469448027537149952,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-02-06T21:41:50.789Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/,true,🌐 Location,"Miami, FL, US",true,📱 Device,Safari on macOS,true,📐 Screen,414x896,true,🌐 Language,en-US,,,,,,,,,,,0,0,,,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,0,2026-02-06T21:41:50.570000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-02-06T21:41:50.789000+00:00,false,0,Animal Battle Stats,1446203750204047426
1469447702877048926,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-02-06T21:40:33.384Z,,16766720,4,true,User,Anonymous,true,Bracket Size,16 animals,true,Total Matches,15,true,🏆 Champion,**Siberian Tiger**,true,🥈 2nd Place,Gazelle,true,🥉 3rd/4th,"Proboscis Monkey, Mountain Goat",false,Final Matches,"✓ Maned Wolf beat Opossum
✓ Siberian Tiger beat Spectacled Bear
✓ Mountain Goat beat Coyote
✓ Proboscis Monkey beat Gila Monster
✓ Gazelle beat Maned Wolf
✓ Siberian Tiger beat Mountain Goat
✓ Gazelle beat Proboscis Monkey
✓ Siberian Tiger beat Gazelle",true,🌐 Location,"Pittsburgh, PA, US",true,🖥️ Device,Firefox on macOS,,0,0,,,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,0,2026-02-06T21:39:56.587000+00:00,🏆 Tournament Completed!,rich,0,,,false,,,,false,,,,,,,,,2026-02-06T21:40:33.384000+00:00,false,0,Animal Battle Stats,1446203750204047426
1469447130606338245,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-02-06T21:38:16.944Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/,true,🌐 Location,"Pittsburgh, PA, US",true,🖥️ Device,Firefox on macOS,true,📐 Screen,1710x1107,true,🌐 Language,en-US,,,,,,,,,,,0,0,,,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,0,2026-02-06T21:38:16.389000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-02-06T21:38:16.944000+00:00,false,0,Animal Battle Stats,1446203750204047426
1469446793841348834,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-02-06T21:36:56.653Z,,4491519,4,true,Visitor,RamiNoodle733,true,🔗 Page,/,true,🌐 Location,"Houston, TX, US",true,📱 Device,Safari on macOS,true,📐 Screen,402x874,true,🌐 Language,en-US,,,,,,,,,,,0,0,,,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,0,2026-02-06T21:36:56.258000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-02-06T21:36:56.653000+00:00,false,0,Animal Battle Stats,1446203750204047426
1469446280219590859,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-02-06T21:34:54.196Z,,6710886,4,true,User,Anonymous,true,🔗 Page,/compare,true,🌐 Location,"Pittsburgh, PA, US",true,🕐 Session Duration,3m 9s,,,,,,,,,,,,,,,,,0,0,,,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,0,2026-02-06T21:34:53.931000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-02-06T21:34:54.196000+00:00,false,0,Animal Battle Stats,1446203750204047426
1469446207519723541,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-02-06T21:34:36.863Z,,16739072,4,false,Matchup,**African Wild Dog** vs **Gray Wolf**,true,User,Anonymous,true,🌐 Location,"Pittsburgh, PA, US",true,🖥️ Device,Firefox on macOS,,,,,,,,,,,,,,,,,0,0,,,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,0,2026-02-06T21:34:36.202000+00:00,⚔️ Battle Comparison,rich,0,,,false,,,,false,,,,,,,,,2026-02-06T21:34:36.863000+00:00,false,0,Animal Battle Stats,1446203750204047426
1469445989629956127,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-02-06T21:33:44.914Z,,4491519,4,true,Visitor,RamiNoodle733,true,🔗 Page,/stats,true,🌐 Location,"Houston, TX, US",true,📱 Device,Safari on macOS,true,📐 Screen,402x874,true,🌐 Language,en-US,,,,,,,,,,,0,0,,,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,0,2026-02-06T21:33:44.517000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-02-06T21:33:44.914000+00:00,false,0,Animal Battle Stats,1446203750204047426
1469445988329455636,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-02-06T21:33:44.604Z,,4491519,4,true,Visitor,RamiNoodle733,true,🔗 Page,/rankings,true,🌐 Location,"Houston, TX, US",true,📱 Device,Safari on macOS,true,📐 Screen,402x874,true,🌐 Language,en-US,,,,,,,,,,,0,0,,,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,0,2026-02-06T21:33:40.046000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-02-06T21:33:44.604000+00:00,false,0,Animal Battle Stats,1446203750204047426
