id,activity,application,application_id,attachments,author.avatar,author.bot,author.clan,author.discriminator,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds.0.color,embeds.0.content_scan_version,embeds.0.fields.0.inline,embeds.0.fields.0.name,embeds.0.fields.0.value,embeds.0.fields.1.inline,embeds.0.fields.1.name,embeds.0.fields.1.value,embeds.0.fields.2.inline,embeds.0.fields.2.name,embeds.0.fields.2.value,embeds.0.fields.3.inline,embeds.0.fields.3.name,embeds.0.fields.3.value,embeds.0.fields.4.inline,embeds.0.fields.4.name,embeds.0.fields.4.value,embeds.0.fields.5.inline,embeds.0.fields.5.name,embeds.0.fields.5.value,embeds.0.fields.6.inline,embeds.0.fields.6.name,embeds.0.fields.6.value,embeds.0.fields.7.inline,embeds.0.fields.7.name,embeds.0.fields.7.value,embeds.0.timestamp,embeds.0.title,embeds.0.type,flags,interaction,mention_channels,mention_everyone,mentions,message_reference,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
1448737298018603060,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T18:04:48.085Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T18:04:46.177000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T18:04:48.085000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448734639362408623,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:54:14.212Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:54:13.950000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:54:14.212000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448734633687646218,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:54:12.859Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:54:12.570000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:54:12.859000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448733913756467252,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:51:21.214Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:51:20.759000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:51:21.214000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448733909478015199,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:51:20.194Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:51:17.479000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:51:20.194000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448729052084043888,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:32:02.101Z,,16766720,0,true,User,RamiNoodle733,true,Bracket Size,8 animals,true,Total Matches,7,true,🏆 Champion,Giraffe,true,2nd Place,Japanese Macaque,true,3rd/4th Place,"Sea Lion, Boa Constrictor",false,Recent Matches,"Boa Constrictor beat Ferret
Giraffe beat Vulture
Japanese Macaque beat Wallaby
Sea Lion beat Mongoose
Giraffe beat Boa Constrictor
Japanese Macaque beat Sea Lion
Giraffe beat Japanese Macaque",true,🌐 Location,"Richmond, TX, US",2025-12-11T17:30:36.680000+00:00,🏆 Tournament Completed,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:32:02.101000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448728724513099788,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:30:44.002Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:30:43.841000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:30:44.002000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448728720700608635,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:30:43.093Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:30:42.544000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:30:43.093000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448728318810521701,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:29:07.275Z,,4491519,0,true,Visitor,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:29:06.953000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:29:07.275000+00:00,false,0,Animal Battle Stats,1446203750204047426
1448728313009803335,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2025-12-11T17:29:05.892Z,,6710886,0,true,User,RamiNoodle733,true,🌐 Location,"Richmond, TX, US",,,,,,,,,,,,,,,,,,,2025-12-11T17:29:05.449000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2025-12-11T17:29:05.892000+00:00,false,0,Animal Battle Stats,1446203750204047426
